horizon,variables,num_vars,r2_os_1pt,r2_os_2pt,delta_1pt_minus_2pt,winner
1d,Skewness + Fear and Greed Index + VIX + T-1 Return,4,-0.007704354143784231,-0.0077295085201740665,2.515437638983542e-05,1pt
1d,Skewness + Kurtosis + Fear and Greed Index + T-3 Return,4,-0.016106529577498696,-0.016131448345777732,2.4918768279036385e-05,1pt
1d,Skewness + T-2 Return + T-3 Return,3,-0.010272355288453383,-0.010297075614355888,2.472032590250528e-05,1pt
1d,Skewness + VIX + T-1 Return,3,-0.0037393189332877164,-0.003763730575808033,2.441164252031669e-05,1pt
1d,Mean + Kurtosis + Median,3,-0.034047238678560854,-0.03407128949662086,2.4050818060006307e-05,1pt
1d,Skewness + Median + T-1 Return + T-2 Return,4,-0.02939283785842206,-0.029416573240170774,2.3735381748712925e-05,1pt
1d,Skewness + Fear and Greed Index + VIX + T-4 Return,4,-0.012931312543948748,-0.012954186377799992,2.287383385124464e-05,1pt
1d,Skewness + T-2 Return + T-3 Return + T-4 Return,4,-0.0154330842316317,-0.015455647436932507,2.2563205300807354e-05,1pt
1d,Mean + Kurtosis + Median + T-2 Return,4,-0.038463729313278794,-0.03848546358544258,2.1734272163786983e-05,1pt
1d,Skewness + Fear and Greed Index + VIX,3,-0.008779894441252267,-0.008801334998803867,2.144055755159968e-05,1pt
1d,Skewness + VIX + T-4 Return,3,-0.008747973440062395,-0.00876941202661885,2.143858655645481e-05,1pt
1d,Skewness + Fear and Greed Index + T-1 Return + T-4 Return,4,-0.01204772513597474,-0.012067540318334569,1.9815182359828043e-05,1pt
1d,Skewness + VIX,2,-0.004720777611226801,-0.00474053818973208,1.9760578505279014e-05,1pt
1d,Kurtosis + VIX + T-2 Return + T-3 Return,4,-0.013511357386346345,-0.013530758719134006,1.9401332787660763e-05,1pt
1d,Skewness + Fear and Greed Index + T-1 Return,3,-0.007985027842980275,-0.00800423915575088,1.921131277060617e-05,1pt
1d,Skewness + T-1 Return + T-3 Return,3,-0.004719367134459862,-0.004738537914934726,1.9170780474864202e-05,1pt
1d,Kurtosis + Median + VIX + T-1 Return,4,-0.028778384232035048,-0.028797477990045728,1.9093758010679807e-05,1pt
1d,Kurtosis + T-2 Return + T-3 Return,3,-0.01284605405218775,-0.012864885966818784,1.8831914631034508e-05,1pt
1d,Skewness + T-1 Return + T-3 Return + T-4 Return,4,-0.009621573340852896,-0.009640293685897472,1.8720345044576092e-05,1pt
1d,Mean + Skewness + T-1 Return + T-2 Return,4,-0.027795544792440507,-0.027814212764920354,1.866797247984664e-05,1pt
1d,Mean + Kurtosis + VIX + T-3 Return,4,-0.03195328208950121,-0.03197171025564516,1.842816614394671e-05,1pt
1d,Mean + Median + VIX + T-2 Return,4,-0.033175711806733066,-0.03319389137536777,1.8179568634701937e-05,1pt
