model_id,variables,num_variables,n_obs,rsquared,adj_rsquared,aic,bic,core_factors,core_factor_min_pvalue,pass_pvalue_screen
model_0076,Skewness + Std + Median + VIX,4,1196,0.02942218575045641,0.026162478565739167,-4953.779879504419,-4928.3461898318665,Skewness,1.2412480054850206e-08,True
model_0195,Skewness + Std + Median + VIX + T-4 Return,5,1196,0.0298948063142348,0.02581873407185764,-4952.362410709303,-4921.841983102239,Skewness,1.2846715320049812e-08,True
model_0038,Skewness + VIX + T-2 Return,3,1196,0.03120810634677562,0.02876987171509815,-4957.982617464354,-4937.635665726311,Skewness,1.2947832457569743e-08,True
model_0125,Skewness + VIX + T-2 Return + T-4 Return,4,1196,0.031717953916164277,0.028465957119912955,-4956.612203867394,-4931.178514194841,Skewness,1.3417654676574815e-08,True
model_0014,Skewness + Mean + VIX,3,1196,0.029026542518025944,0.02658281737335666,-4955.29244523531,-4934.945493497267,Skewness,1.3615796737769522e-08,True
model_0192,Skewness + Std + Median + VIX + T-1 Return,5,1196,0.030379380193885197,0.026305343976212425,-4952.959969774697,-4922.439542167634,Skewness,1.4056097116255713e-08,True
model_0068,Skewness + Mean + VIX + T-4 Return,4,1196,0.029493563155680635,0.02623409569356705,-4953.8678379499515,-4928.434148277399,Skewness,1.4107840757768823e-08,True
model_0121,Skewness + VIX + T-1 Return + T-2 Return,4,1196,0.03212488223299981,0.028874252114554744,-4957.11493813214,-4931.681248459588,Skewness,1.4202920602094828e-08,True
model_0253,Skewness + VIX + T-1 Return + T-2 Return + T-4 Return,5,1196,0.03261624016186948,0.028551602515490826,-4955.722261630156,-4925.2018340230925,Skewness,1.4699435259839815e-08,True
model_0065,Skewness + Mean + VIX + T-1 Return,4,1196,0.030031184610408768,0.026773522761913027,-4954.530557328172,-4929.0968676556195,Skewness,1.539284071431508e-08,True
model_0179,Skewness + Mean + VIX + T-1 Return + T-4 Return,5,1196,0.030480614582574117,0.026407003719475686,-4953.084846089617,-4922.564418482553,Skewness,1.5925432075800205e-08,True
model_0137,Skewness + Mean + Std + Fear and Greed Index + VIX,5,1196,0.03022330398045059,0.02614861198036844,-4952.767469609676,-4922.247042002612,Skewness,1.7051714533674598e-08,True
model_0006,Skewness + VIX,2,1196,0.028426144179470647,0.026797353138698576,-4956.553131005113,-4941.292917201581,Skewness,1.7343775954439932e-08,True
model_0040,Skewness + VIX + T-4 Return,3,1196,0.028892360977118448,0.02644829812722871,-4955.1271780655015,-4934.780226327459,Skewness,1.799544525573026e-08,True
model_0037,Skewness + VIX + T-1 Return,3,1196,0.02946607240517307,0.027023453459884106,-4955.833960305558,-4935.487008567516,Skewness,1.8954550350641176e-08,True
